ESG Corporate KPIs: Key Performance Indicators from Sustainalytics for corporate environmental, social, and governance metrics. Contains the full library of standard datafiles offered through Sustainalytics' Data Services solutions, including fields and indicators that have been discontinued but are still included in the historical dataset. In some cases, this also includes fields that are pending an upcoming release.

FieldId	FieldName	Description	FieldType	PossibleValues
101011112999	EntityId	ID to uniquely identify an entity	Integer	min. 0 max. 9999999999
101011122899	EntityName	Entity�name	String	n/a
101011132899	Country	Country of domicile	String	n/a
101011142899	Region	Region of domicile	String	n/a
101011152799	Market cap. (mln. USD)	Market capitalization in mln. USD	Numerical	NULL|min. 0.00 max. 9999999999.99
101011232899	Sector	Name of the sector that the research entity is classified into.	String	NULL|{text}
101011262899	Subindustry	Name of the subindustry that the research entity is classified into.	String	n/a
101011272899	Company Type	Company type field indicating whether the company is public or private	String	Public|Private
101011293099	ExtractionDate	Extraction date field provides current date value at time of export	Date	yyyy/mm/dd
101011322799	Carbon - Total Revenues (mln. USD)	Total Revenues in mln. USD of relevant fiscal year and applying the year's average of daily FX rates for conversion to USD	Numerical	NULL|min. 0.00 max. 9999999999.99
101011342999	Factset EntityId	Factset CompanyId (FSYM_ENTITY_ID)	Alphanumeric	n/a
101011372999	Factset SecurityId	Factset SecurityId (FSYM_ID)	Alphanumeric	n/a
101011402899	Industry Group	Name of the industry group that the research entity is classified into.	String	NULL|{text}
101011432899	Sovereign Region	Regions defined by World Bank used for sovereigns.	String	NULL|{text}
101011442899	Income Group	The World Bank divides the world's economies into four income groups: high, upper-middle, lower-middle, and low. The income classification is based on a measure of national income per person, or GNI per capita, calculated using the Atlas method.	String	NULL|Low Income|Upper Middle Income|Lower Middle Income|High Income
101011452999	CountryCode	Three-letter country codes defined in ISO 3166-1	String	NULL|[CountryCode]
101111132999	Exchange:Ticker	Combination of exchange and ticker code	Alphanumeric	NULL|{text}
101111142999	Exchange	Exchange code	Alphanumeric	NULL|{text}
101111152999	Ticker	Ticker code	Alphanumeric	NULL|{text}
101111162999	Legal Entity Identifier	Legal entity identifier (LEI) is a 20-character, alpha-numeric code, to uniquely identify legally distinct entities that engage in financial transactions	Alphanumeric	NULL|{text}
101111172999	Bloomberg Ticker	Bloomberg ticker code. Ticker is a specific identifier for a financial instrument that reflects common usage. Tickers are not, however, unique to specific exchanges or specific pricing sources. Tickers may change in conjunction with Corporate Actions.	Alphanumeric	NULL|{text}
101111192999	Bloomberg Global Composite ID	"Twelve character, alphanumeric identifier. The first 2 characters are upper-case consonants (including ""Y""), the third character is the upper-case ""G"", characters 4 -11 are any upper-case consonant (including ""Y"") or integer between 0 and 9, and the last character is a check-digit. The Composite level of assignment is provided in cases where there are multiple trading venues for the instrument within a single country or market. The Composite Financial Instrument Global Identifier (FIGI) enables users to link multiple FIGIs at the trading venue-level within the same country or market in order to obtain an aggregated view for that instrument within that country or market. (COMPOSITE_ID_BB_GLOBAL)"	Alphanumeric	NULL|{text}
101111202999	Bloomberg Global ID	"Twelve character, alphanumeric identifier. The first 2 characters are upper-case consonants (including ""Y""), the third character is the upper-case ""G"", characters 4 -11 are any upper-case consonant (including ""Y"") or integer between 0 and 9, and the last character is a check-digit. An identifier is assigned to instruments of all asset classes, is unique to an individual instrument and once issued will not change for an instrument. For equity instruments an identifier is issued per instrument per trading venue. (ID_BB_GLOBAL)"	Alphanumeric	NULL|{text}
